file,merchant,date,time,currency,category,subtotal_orig,tax_orig,total_orig,subtotal_usd,tax_usd,total_usd,payment_method,items,ocr_text_preview
084.jpg,RESTORAN WAN SHENG,2018-03-07,15:34:15,MYR,Food & Beverage,4.54,0.26,4.8,1.0896,0.0624,1.152,CASH,"[{""name"": ""Teh: (B)"", ""qty"": 2, ""unit_price"": 2.2, ""total_price"": 4.4}]","- Pilit9 ta
RESTORAN WAN SHENG
002043319-
No:2, Jalan Temenggung 19/9,
Seksyen 9; Bandar Mahkota Cheras,
43200 Cheras, Selangor
GST. REG NO: 001335787520
Tax Invoice
INV No:: 103223B Cashier: Thandar
"
085.jpg,KAISON FURNISHING SDN BHD,2018-03-25,18:34:00,MYR,Retail,17.64,1.06,18.7,4.2336,0.2544,4.488,CASH,"[{""name"": ""PLASTIC TRAY-GLOSS"", ""qty"": null, ""unit_price"": null, ""total_price"": null}, {""name"": ""REYCHAIN= SCARF"", ""qty"": null, ""unit_price"": 5.9, ""total_price"": null}, {""name"": ""KEYCHAIN - KNIT"", ""qty"": null, ""unit_price"": 3.9, ""total_price"": null}]","3-1708032
KAISON FURNISHING SDN BHD
'Lot No. IL3-012, Level 3,
MyTOWN Shopping Centre:
No: 6, Jalan Cochrane,
Seksyen: 90
155100 Kualá Lumpur:
Co Reg No. (761834D)
'EST Reg No: 001813973040
Tel: 103 -"
086.jpg,SPEED MART S/B,2019-03-26,10:23:00,MYR,Retail,9.4,0.94,10.6,2.256,0.2256,2.544,CASH,"[{""name"": ""GLA55 CLEANER"", ""qty"": 1, ""unit_price"": null, ""total_price"": 10.0}]","[= y
3-1708032
(99 SPEED MAPT S/B (E19537-X)
LoT F.T. 2011, JALAN ANGSA,
TAMAN PERVELEY
41150 KLANG SEL ANGOR
1330 JLN KEHANGA
EST IDA: NO/9 10001817477121
INVOICE NO: 18348/102/T0058
10: 23AM
369234-"
087.jpg,Pharmact,2018-09-17,12:09:00,MYR,Healthcare,44.94,1.26,46.2,10.7856,0.3024,11.088,CASH,"[{""name"": ""IBUPROFEN FILM COATED TAB"", ""qty"": 4, ""unit_price"": 3.0, ""total_price"": 12.0}, {""name"": ""FEBRICOL - RX 10X10ML"", ""qty"": 1, ""unit_price"": 3.49, ""total_price"": 3.49}, {""name"": ""NOFLUX TABLET"", ""qty"": 14, ""unit_price"": null, ""total_price"": 29.45}]","*.
SIMPLIFIED TAX INVOICE
PHARMACT
1188096-WT
GST: NO: 001930047488
NO.47, JALAN 3/36,
19:
• BUKIT SRI BINTANG
CKEFONG 52100; KUALA LUMPUR
TEL: 03-6263 8480 FAX: 03-6263:8480
- CASH
RECEIPT #E: C50012"
088.jpg,ROCKU YAKINIKU,2018-02-19,17:43:00,MYR,Food & Beverage,149.7,15.57,181.55,35.928,3.7368,43.572,CASH,"[{""name"": ""GREEN TEA - T"", ""qty"": 1, ""unit_price"": 13.0, ""total_price"": 13.0}, {""name"": ""GREEN TEA"", ""qty"": 1, ""unit_price"": 3.0, ""total_price"": 3.0}, {""name"": ""E BUFFET DINNER (ADULT)"", ""qty"": 3, ""unit_price"": 49.9, ""total_price"": 149.7}]","• 6 fmy!
ROCKU YAKINIKU
CPI ROCKU SDN. BHD. (1096317-P)
GST. NO.: 000446271488
LOT F355/356/357, FIRST FLOOR,
RAINFOREST,1 UTAMA SHOPPING CENTRE,
LEBUH, BANDÄR ÜTAMA
,47800 PETALING JAYA
V19/02/2018 1"
089.jpg,,2018-02-19,14:19:38,MYR,Food & Beverage,20.4,1.35,23.79,4.896,0.324,5.7096,CASH,"[{""name"": ""Mineral Water"", ""qty"": 1, ""unit_price"": 2.5, ""total_price"": 2.5}, {""name"": ""Chocolate Waffle-Half Moon"", ""qty"": 1, ""unit_price"": 17.9, ""total_price"": 17.9}]","GUEST
CHECK
¿Table 11
F3Y2:
u2 Check #: 186242
..Pax(s): 3
19-02-2018 14:19:38
scashier: |
CASHIER
F60%
Description
Qty
U price Total TAX
r. Mineral Water
1x
2:50
Chocolate Waffle-Half Moon
1 x
17.90
"
090.jpg,,,,,,,,,,,,,[],"GSTATI
C
UD-AD)
38A
FLUNPULA
58,59877
NG 0000"
091.jpg,POTTERS GARDEN SDN BHD,2018-01-04,12:29:18,MYR,Retail,37.54,2.26,39.8,9.0096,0.5424,9.552,CASH,"[{""name"": ""PLASTIC PLATE"", ""qty"": 2, ""unit_price"": 7.9, ""total_price"": 15.8}, {""name"": ""CHINA POT"", ""qty"": 1, ""unit_price"": null, ""total_price"": null}, {""name"": ""PLANT"", ""qty"": 5, ""unit_price"": 11.0, ""total_price"": null}]","POTTERS GARDEN SDN BHD
(1153774-D)
Batu 11. $g Buloh; 47000 Selangor.
Tel:: 016-667 0982, 016-333 3812
GST Reg: No: 000392024064
TAX INVOICE
TABLE : O1
FPOS. ID: G
FINV, NO: G/ 00002268
CASHIER: Admin"
092.jpg,HENG KEE DELIGHIS BAK KUT TEH,2018-01-04,07:42:10,MYR,Food & Beverage,42.0,0.0,42.0,10.08,0.0,10.08,CASH,"[{""name"": ""Bak Kut Teh Soup"", ""qty"": 2.0, ""unit_price"": 17.0, ""total_price"": 34.0}, {""name"": ""White Rice"", ""qty"": 2.0, ""unit_price"": 1.5, ""total_price"": 3.0}, {""name"": ""Tofu"", ""qty"": 1.0, ""unit_price"": 4.0, ""total_price"": 4.0}, {""name"": ""Chinese Tea/ Water"", ""qty"": 1.0, ""unit_price"": 0.5, ""total_price"": 0.5}]","joemire
• 1-
HENG KEE DELIGHIS BAK KUT TEH.
NO31, JALAN 3/624.
BANDAR MENJALARA
KEPONG.
52100) KUALA IUMPUR
GST NO: 000403890176
H/P : 016-6555553
=E:
zizie-
TAX INVOICH
:TB011530
LABUCETAKE_AWAY
!DAT"
093.jpg,Noflux,,,MYR,Healthcare,29.29,5.51,34.8,7.0296,1.3224,8.352,MASTER,"[{""name"": ""TAB 90MG 10"", ""qty"": 1, ""unit_price"": 9.01, ""total_price"": 9.01}, {""name"": ""IBUPROFEN 400MG 10"", ""qty"": 1, ""unit_price"": 3.0, ""total_price"": 3.0}, {""name"": ""FEBRICOL -RX 10"", ""qty"": 1, ""unit_price"": 9.0, ""total_price"": 9.0}]","NOFLUX TAB 90MG 10:
* 4093;
9.01.%
9557892102639 IBUPROFEN 400MG 10
·001X 3.00
56492002837K FEBRICOL -RX 10
9.00 z
X 2:70
10:80 z
Rounding 1
TOTAL,
(GST
:-0.01
34.80
:0.51 )
PAYMENT g
TOTAL PAYMENT •
"
094.jpg,TESCO,null,22:00,MYR,Grocery,23.0,,67.0,5.52,,16.08,CASH,"[{""name"": ""CUSHI\u00d6N 45*45cM"", ""qty"": null, ""unit_price"": null, ""total_price"": null}, {""name"": ""LECASHAL CHANGER"", ""qty"": null, ""unit_price"": null, ""total_price"": null}, {""name"": ""Sipai"", ""qty"": null, ""unit_price"": 11.9, ""total_price"": null}, {""name"": ""aty(s)k"", ""qty"": null, ""unit_price"": null, ""total_price"": null}, {""name"": ""RN"", ""qty"": null, ""unit_price"": null, ""total_price"": null}]","ea COAR
4L0T21851-A
851-B
: KPB:
IEKAWASAN PERINDUSTRIAN
BALAKONGSO
43300; SERT KEMBANGAN:
NSELANGOR
FIGSTAIDT
Nof:: 0004737925120
PiLODES
(TESCO-M
ALARACKEPONGR
VOICELS
CUSHIÖN 45*45cM PI
{ĘŻO9 SªA.5"
095.jpg,McDonald's,2018-03-11,14:31:11,MYR,Food & Beverage,8.5,0.48,8.5,2.04,0.1152,2.04,CASH,"[{""name"": ""ChocTop"", ""qty"": 2, ""unit_price"": 2.0, ""total_price"": 4.0}, {""name"": ""McFlurryOreos"", ""qty"": 1, ""unit_price"": 4.5, ""total_price"": 4.5}]","Gerbang Alaf Restaurants: Sdn: Bhd
(65351-M)
formerly known as:
Golden Arches Restaurants Sdn Bhd
Licensee of McDonald's
Level 6,: Bangunan TH, Damansara Uptown3
No.3, Jalan SS21/39,47400 Petaling Jay"
096.jpg,SAINT HEART PASTRY,2018-03-25,10:56:00,MYR,Food & Beverage,8.2,0.46,8.66,1.968,0.1104,2.0784,CASH,"[{""name"": ""JUMBO SAUSAGE CHEESE"", ""qty"": 3, ""unit_price"": 3.1, ""total_price"": 9.3}, {""name"": ""GARLIC CHEESE"", ""qty"": 2, ""unit_price"": 2.0, ""total_price"": 4.0}]","SAINT HEART PASTRY
(001980264-H)
29, JLN SJ 17,
TMN SELAYANG JAYA,
:68100 BATU CAVES,
SELANGOR
TEL: 03-61372830
GST ID: 001661329408
SIMPLIFIED TAX INVOICE
¡ CASH
: Recelpt#:
*Staff:
- Cashler:
CS0025"
097.jpg,KEDAI PAPAN YEW CHUAN,2018-03-21,09:31:00,MYR,Other,65.0,3.9,68.9,15.6,0.936,16.536,CASH,"[{""name"": ""PAS\u0130R HAL\u00dcS (D)"", ""qty"": 1, ""unit_price"": 65.0, ""total_price"": 65.0}]","R
KEDAI PAPAN YEW CHUAN
: 0005583085-K)
LOT 276 JALAN BANTING
43800 DENGKIL; SELANGOR.
TEL: 03-87686092 FAX: 03-87686092
GST ID: 000781600416
TAX INVOICE
BIll TOR
""SUCI ALAM JAYA TRANSPORT
NO 1 JALAN "
098.jpg,KEDAI PAPAN YEW CHUAN,2018-03-21,16:39:00,MYR,Retail,136.0,8.16,144.16,32.64,1.9584,34.5984,CASH,"[{""name"": ""BESI"", ""qty"": 8, ""unit_price"": 17.0, ""total_price"": 136.0}]","R
KEDAI PAPAN YEW CHUAN
:(0005583085-K)
LOT 276 JALAN BANTING
43800 DENGKIL, SELANGOR.
TEL : 03-87686092 FAX: 03-87686092
GST ID: 000781500416
TAX INVOICE
Bill To:
¿ SUCIALAM JAYA TRANSPORT
NO 1 JALAN"
099.jpg,KEDAI PAPAN YEW CHUAN,2018-03-07,08:31:00,MYR,Retail,86.0,5.16,91.16,20.64,1.2384,21.8784,CASH,"[{""name"": ""PASTR HALUS (D)"", ""qty"": 1, ""unit_price"": 65.0, ""total_price"": 65.0}, {""name"": ""KAPUR AIR (AI)"", ""qty"": 3, ""unit_price"": 3.0, ""total_price"": 9.0}, {""name"": ""F101870"", ""qty"": null, ""unit_price"": null, ""total_price"": 4115.0}]","Su
R
Cinib
Ches:
0000€
KEDAI PAPAN YEW CHUAN
(0005583085-K)
LOT 276 JALAN BANTING
43800 DENGKIL, SELANGOR.
TEL: 03-87686092 FAX: 03-87686092
GST ID: 000781500416
TAX INVOICE
SUCI ALAM JAYA TRANSPORT
N"
100.jpg,PAPAN YEW CHUAN,2018-03-08,14:58:00,MYR,Transport,295.0,17.7,312.7,70.8,4.248,75.048,CASH,"[{""name"": ""Item"", ""qty"": 1, ""unit_price"": 5.9, ""total_price"": 5.9}, {""name"": ""USIMENT"", ""qty"": 2, ""unit_price"": 16.5, ""total_price"": 33.0}, {""name"": ""PASIR HALUS (D)"", ""qty"": 1, ""unit_price"": 85.0, ""total_price"": 85.0}, {""name"": ""iSR"", ""qty"": 1, ""unit_price"": 17.49, ""total_price"": 17.49}, {""name"": ""iSR"", ""qty"": 1, ""unit_price"": 68.9, ""total_price"": 68.9}]","KEPA!
PAPAN YEW CHUAN
35583085-K)
* LOT 276 JALAN BANTING
17$00 DENC
SELANGOR:
TEL: 03-87686092
FAX: 03-87686092
GST ID: 000781500416
TAX INVOICE
SUCI ALAM JAYA TRANSPORT
NO 1 JALAN AMAN 2
TAMAN DESA "
